screen_name,day,text,month,party,topics,triggering_event,analytical_notes,likely_context
ArielKallner,02/02/2021,"גונבים אתכם, אזרחי ישראל. גונבים אותנו. בעודנו ""משחקים"" בבחירות, בג""ץ עומד לדון היום בחוקי יסוד. כך בדיוק עובדת השיטה של בג""ץ - קודם דיון תיאורטי, אח""כ מכניסים איזו פיסקה לא מחייבת כדעת מיעוט וכעבור מספר שנים, נשענים עליה ונוטלים סמכויות שמעולם לא היו להם ולא היו אמורות להיות להם",Feb-21,Likud,judicial,HCJ deliberates Basic Laws jurisdiction,Pre-election: Supreme Court discusses authority over Basic Laws,Supreme Court Basic Laws jurisdiction discussion
ArielKallner,02/02/2021,"העריצות המשפטית הזו תמשיך לרדות בנו: לפגוע בביטחון, במדיניות ההגירה, בארץ ישראל ובזהותה היהודית של מדינת ישראל. הפעם הזו, בע""ה יהיו מעל 61 מנדטים לימין ונוכל לסיים את העריצות המשפטית!",Feb-21,Likud,judicial,HCJ deliberates Basic Laws jurisdiction,Pre-election: Supreme Court discusses authority over Basic Laws,Supreme Court Basic Laws jurisdiction discussion
shlomo_karhi,02/02/2021,"הלחץ על הבנקים נותן את אותותיו... בנק ישראל מצטרף למאבק.  נגיד הבנק הורה ""לבחון ולגבש צעדי מדיניות רלוונטיים, במידה וביטול מגבלת הפריים לא תגולגל ברמה מספקת ע""י הבנקים לטובת הציבור"".  מנכ""לי ויו""רי הבנקים בישראל עושקים את הציבור, גם בתקופת משבר כלכלי חמור, ואנחנו לא נשתוק להם. https://t.co/WIGNkhQLhO",Feb-21,Likud,covid,HCJ deliberates Basic Laws jurisdiction,Pre-election: Supreme Court discusses authority over Basic Laws,Supreme Court Basic Laws jurisdiction discussion
ayoobkara,03/02/2021,"החלטת בג""ץ להרוס רק את הקומה העליונה בבית המחבל שרצח את אסתר הורגן ז""ל  לעג לרש ופוגעת בכוח ההרתעה של ישראל ומסכנת את בטחונם ושלומם של חיילי צה""ל ואזרחי המדינה.הריסת בתי מחבלים עד היסוד  זה המינימום הנדרש למלחמה בטרור  ואם בג""ץ ימשיך עם החלטות מהסוג הזה מעשה  הטרור ילכו ויתגברו",Feb-21,Likud,judicial,,,HCJ decision on terrorist house demolition
shlomo_karhi,04/02/2021,"""ואז הגיע ח""כ קרעי..."" (עירית אביסר - אתמול בכלכליסט).  הלחץ נותן את אותותיו. הבנקים, שניסו לרמוס את התחרות ולהתעלם מכך שביטלנו את מגבלת שליש הפריים שהגבילה את התחרות בעשור האחרון, מתחילים להתקפל.  נמשיך לעקוב ולהיאבק לטובתכם אזרחי ישראל עד להשגת שוק בנקאי תחרותי. https://t.co/Bww6wtUqR9",Feb-21,Likud,?economy,,,Banking sector competition issue + COVID response dispute
ArielKallner,04/02/2021,המסתננים הם הכלי האפקטיבי במאבק נגד מדינת ישראל כמדינת הלאום של העם היהודי.  צפו בדבריי במליאה&gt;&gt; https://t.co/80WAlyfNix,Feb-21,Likud,identity,,,Banking sector competition issue + COVID response dispute
zoharm7,04/02/2021,טירלול מוחלט של גנץ וכחול לבן בגיבוי של מנדלבליט. פשוט איבדו את זה לגמרי. הם החליטו להחריב את ישראל בעיצומו של משבר בריאותי שמסכן את חייהם של רבים מאזרחי המדינה. אנשים בלי שום אחריות. הזויים. מסוכנים. נגמרו המילים. באמת.,Feb-21,Likud,"ag, covid",,,Banking sector competition issue + COVID response dispute
shlomo_karhi,04/02/2021,"מפלגה ז""ל ויועץ נסחט בגרון רוצים לקחת איתם לאבדון את אזרחי ישראל. למי עוד יש אינטרס שלא נצא מהמגפה הזו לפני הבחירות?  גנץ ומנדלבליט, לא תוכלו לרחוץ בניקיון כפיים. התחלואה הקשה והשלכותיה יהיו על צווארכם.",Feb-21,Likud,ag,,,Banking sector competition issue + COVID response dispute
DayanUzi,05/02/2021,"מה לא ברור גנץ ומה לא חוקי מנדלבליט?! אנחנו במלחמה קשה בקורונה. כלי הנשק העיקריים הם ריחוק חברתי וחיסון האוכלוסיה. היועמ""ש מנדלבליט - תפקידך למצוא דרכים לתמיכה בהחלטות הממשלה.  שר הביטחון גנץ - תפקידך לנצל את הפריטטיות למתן ביטחון לציבור. אתם סכנה לבריאות הציבור! https://t.co/DSUrIeyIWN",Feb-21,Likud,"ag, covid","Dayan's tweet, posted shortly after the decision, reflects a pro-Netanyahu, right-wing perspective, accusing Gantz and Mandelblit of failing to prioritize public health by not fully backing the government's (i.e., Netanyahu's) push for extension and instead leveraging legal/technical hurdles",Netanyahu framing: AG and Gantz blocking COVID response,COVID emergency response (AG vs Netanyahu)
bezalelsm,05/02/2021,"לקראת שבת שלום.  תביטו על הרשימה המגוונת שהגשנו אתמול, אני בטוח שכל אחד ואחת מכם תזהו בה את עצמכם. יש לנו דרך, ועכשיו לציונות הדתית יש גם בית, אחד, גדול ומאוחד. https://t.co/Qaty93PwlC",Feb-21,Religious Zionism,?identity,Gantz-Mandelblit dispute over COVID emergency powers,Netanyahu framing: AG and Gantz blocking COVID response,COVID emergency response (AG vs Netanyahu)
netanyahu,06/02/2021,"כשבית הדין הבינ""ל בהאג חוקר את ישראל על פשעי מלחמה שקריים לגמרי, זאת אנטישמיות מזוקקת. בית הדין הזה הוקם כדי למנוע זוועות כמו השואה הנאצית נגד העם היהודי, כעת הוא תוקף את המדינה היחידה של העם היהודי. https://t.co/4kbzECkCHx",Feb-21,Likud,?betrayal,ICC announces investigation of Israel for war crimes,International pressure; unifying issue across right-wing,ICC announces investigation of Israel for war crimes
